utente,tipo_evento,cod_2
32,2,3
32,1,1
33,1,1
33,1,1
33,3,1
33,2,3
33,2,3
33,1,1
33,1,1
33,1,1
33,1,1
33,1,1
33,1,1
33,1,1
33,1,1
33,1,1
33,1,1
33,1,1
34,3,1
34,1,1
34,1,1
34,3,1
34,1,1
34,1,1
34,1,1
34,3,1
34,1,1
34,3,1
34,1,1
34,1,1
34,1,1
34,3,1
34,1,1
34,3,1
34,1,1
34,1,1
34,3,1
34,1,1
34,1,1
34,1,1
34,3,1
34,2,3
34,3,1
34,1,1
34,1,1
34,2,3
34,1,1
34,3,1
34,3,1
34,1,1
34,3,1
34,3,1
34,1,1
34,1,1
35,1,1
35,3,1
35,1,1
35,1,1
35,3,1
35,1,1
35,1,1
